,imdb_title_id,original_title,year,director,budget,usa_gross_income,worlwide_gross_income,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
44,tt0187078,Gone in Sixty Seconds,2000,Dominic Sena,"$90,000,000","$101,648,571","$237,202,299",6.5,256788,6.6,7,15633,14051,38813,73174,61776,28667,12235,5721,3334,3384
45,tt0190524,Left Behind,2000,Vic Sarin,"$4,000,000","$4,224,065","$4,224,065",4.5,8921,5.2,5,1461,418,598,843,835,845,687,607,607,2020
46,tt0218967,The Family Man,2000,Brett Ratner,"$60,000,000","$75,793,305","$124,745,083",6.8,101225,7,7,8230,7667,18377,30653,21176,8761,3331,1384,739,907
47,tt0238112,Captain Corelli's Mandolin,2001,John Madden,"$57,000,000","$25,543,895","$62,112,895",5.9,32547,6.1,6,1724,1322,3457,6928,8342,5339,2506,1274,713,942
48,tt0245562,Windtalkers,2002,John Woo,"$115,000,000","$40,914,068","$77,628,265",6.1,64627,6.1,6,2693,2148,6831,14987,17845,10213,4536,2297,1304,1773
49,tt0254284,Dog Eat Dog,2001,Moody Shoaibi,,,,5,203,5.6,6,24,9,11,30,37,25,23,18,7,19
50,tt0259324,Ghost Rider,2007,Mark Steven Johnson,"$110,000,000","$115,802,596","$228,738,393",5.2,219971,5.4,5,10778,5145,13535,30542,47216,46022,28324,16940,10231,11238
51,tt0263101,Bangkok Dangerous,2000,"Danny Pang, Oxide Chun Pang",,,"$55,429",6.6,3483,6.7,7,265,262,610,921,699,329,181,87,48,81
52,tt0268126,Adaptation.,2002,Spike Jonze,"$19,000,000","$22,498,520","$32,801,173",7.7,174173,7.7,8,25315,32618,51142,35041,15279,6515,3031,1749,1328,2155
53,tt0305973,Sonny,2002,Nicolas Cage,,"$30,005","$132,221",5.6,3960,5.9,6,341,137,364,624,917,709,358,201,138,171
54,tt0325805,Matchstick Men,2003,Ridley Scott,"$62,000,000","$36,906,460","$65,565,672",7.3,122129,7.4,7,7528,11860,37128,41500,15967,4708,1693,732,417,596
55,tt0368891,National Treasure,2004,Jon Turteltaub,"$100,000,000","$173,008,894","$347,512,318",6.9,299339,7,7,21691,21725,58663,98960,56739,22672,9333,4364,2317,2875
56,tt0375568,Astro Boy,2009,David Bowers,"$65,000,000","$19,551,067","$39,886,986",6.3,32542,6.4,6,2083,1363,3915,8484,8824,4203,1736,792,437,705
57,tt0384680,The Weather Man,2005,Gore Verbinski,"$22,000,000","$12,482,775","$19,126,398",6.5,76767,6.7,7,4608,4902,13331,22648,16507,7422,3353,1696,967,1333
58,tt0399295,Lord of War,2005,Andrew Niccol,"$50,000,000","$24,149,632","$72,617,068",7.6,289908,7.7,8,29533,44086,100520,73022,26405,9088,3318,1575,900,1461
59,tt0429589,The Ant Bully,2006,John A. Davis,"$50,000,000","$28,142,535","$55,181,129",5.8,36386,5.9,6,1724,976,2914,6928,10381,7178,3035,1542,772,936
60,tt0435705,Next,2007,Lee Tamahori,"$70,000,000","$18,211,013","$77,621,983",6.2,146484,6.3,6,7312,6280,18057,38303,38209,19464,9160,4454,2576,2669
61,tt0436339,G-Force,2009,Hoyt Yeatman,"$150,000,000","$119,436,770","$292,817,841",5.1,41904,5.2,5,2184,770,2115,4918,8569,9562,5633,3361,1976,2816
62,tt0448011,Knowing,2009,Alex Proyas,"$50,000,000","$79,957,634","$183,658,498",6.2,217720,6.3,6,11337,10446,27677,53167,53228,29429,14757,7903,4685,5091
63,tt0450345,The Wicker Man,2006,Neil LaBute,"$40,000,000","$23,649,127","$38,805,380",3.7,63349,3.8,3,2254,610,1598,3484,5811,8357,9553,9676,8638,13368
64,tt0462322,Grindhouse,2007,"Robert Rodriguez, Eli Roth","$67,000,000","$25,037,897","$25,422,088",7.5,176256,7.6,8,34095,25717,45450,35536,15116,6856,3222,2179,1773,6312
65,tt0465234,National Treasure: Book of Secrets,2007,Jon Turteltaub,"$130,000,000","$219,964,115","$459,242,249",6.5,215254,6.6,7,14142,10974,31420,65064,52074,22840,9289,4219,2250,2982
66,tt0469641,World Trade Center,2006,Oliver Stone,"$65,000,000","$70,278,893","$163,247,198",5.9,76697,6,6,4749,2994,7636,15682,20199,11498,5385,2966,1842,3746
67,tt0479997,Season of the Witch,2011,Dominic Sena,"$40,000,000","$24,827,228","$91,627,228",5.4,89377,5.5,6,4164,2037,5587,13133,21522,19073,10798,6143,3430,3490
68,tt0481499,The Croods,2013,"Kirk DeMicco, Chris Sanders","$135,000,000","$187,168,425","$587,204,668",7.2,186660,7.4,7,21144,20230,47208,53617,26801,9986,3580,1704,927,1463
69,tt0814022,Bangkok Dangerous,2008,"Danny Pang, Oxide Chun Pang","$45,000,000","$15,298,133","$42,487,390",5.4,54536,5.5,6,2081,991,3131,8248,13541,12105,6475,3576,2094,2294
70,tt0974005,Inconceivable,2008,Mary McGuckian,,,,3.1,412,2.6,1,21,2,10,10,12,20,18,35,55,229
71,tt1067106,A Christmas Carol,2009,Robert Zemeckis,"$200,000,000","$137,855,863","$325,286,646",6.8,98606,6.9,7,8959,7210,17367,29306,19874,8553,3445,1681,916,1295
72,tt1071875,Ghost Rider: Spirit of Vengeance,2011,"Mark Neveldine, Brian Taylor","$57,000,000","$51,774,002","$132,563,930",4.3,109111,4.6,4,6312,1596,3793,7719,14036,20319,19381,14495,9878,11582
73,tt1214962,Seeking Justice,2011,Roger Donaldson,"$17,000,000","$411,746","$14,089,528",6.2,44195,6.3,6,1992,1228,4290,11707,14058,6315,2474,1043,483,605
74,tt1234550,Rage,2009,Sally Potter,"$1,000,000",,,4.8,994,5.3,5,127,49,81,113,113,120,100,56,74,161
75,tt1250777,Kick-Ass,2010,Matthew Vaughn,"$30,000,000","$48,071,303","$96,188,903",7.6,517708,7.6,8,62669,82495,160726,121621,48895,18748,8389,4545,3135,6485
76,tt1266036,Valley Girl,2020,Rachel Lee Goldenberg,,,"$7,671",5.4,1391,5.7,6,127,51,128,216,251,227,143,66,49,133
77,tt1274586,Dying of the Light,2014,Paul Schrader,"$5,000,000",,"$697,847",4.4,9562,4.6,5,427,103,251,653,1362,2181,1865,1108,663,949
78,tt1396219,Outcast,2010,Colm McCarthy,,,$179,5.3,2314,5.5,6,131,60,180,341,482,460,262,159,103,136
79,tt1403987,Rage,2010,Chris Witherspoon,,,,4.3,158,4.7,5,9,6,4,22,28,19,10,18,19,23
80,tt1502404,Drive Angry,2011,Patrick Lussier,"$50,000,000","$10,721,033","$40,909,909",5.4,93316,5.5,6,4900,2482,6678,14224,21027,18315,10844,6234,3925,4687
81,tt1552224,Outcast,2014,Nick Powell,"$25,000,000",,"$5,148,503",4.6,12210,4.9,5,736,227,528,1057,1985,2558,1918,1300,846,1055
82,tt1656186,Stolen,2012,Simon West,"$35,000,000","$304,318","$17,415,418",5.5,42715,5.6,6,1999,851,2424,6376,11868,9912,4514,2154,1160,1457
83,tt1667310,Deadfall,2012,Stefan Ruzowitzky,"$12,000,000","$66,351","$1,946,254",6.3,37643,6.3,6,1490,1139,4194,10647,11261,5243,1989,791,440,449
84,tt1674784,Trespass,2011,Joel Schumacher,"$35,000,000","$24,094","$10,117,966",5.3,41154,5.4,5,1644,730,2111,5525,10353,9519,5099,2818,1664,1691
85,tt1754471,Season of the Witch,2009,Peter Goddard,,,,5.9,178,7,8,82,4,9,8,18,10,10,8,8,21
86,tt2005374,The Frozen Ground,2013,Scott Walker,"$27,220,000",,"$5,617,460",6.4,56059,6.5,7,2568,2037,7259,17383,16068,6498,2246,962,435,603
87,tt2032572,USS Indianapolis: Men of Courage,2016,Mario Van Peebles,"$40,000,000",,"$2,158,568",5.2,11051,5.4,5,651,298,734,1531,2252,2064,1234,888,614,785
88,tt2382396,Joe,2013,David Gordon Green,"$4,000,000","$373,375","$2,431,443",6.9,44806,6.9,7,2631,2937,9345,15173,8416,3278,1281,646,390,709
89,tt2467046,Left Behind,2014,Vic Armstrong,"$16,000,000","$14,019,924","$27,405,896",3.1,36329,3.4,3,2082,544,842,1378,2118,3306,4217,4683,5334,11825
90,tt2630272,Time to Kill,2014,Brian K. Williams,"$10,000",,,5.3,106,5.6,6,23,2,9,11,11,10,7,6,10,17
91,tt3481634,Inconceivable,2017,Jonathan Baker,"$10,000,000",,"$259,635",5.2,8022,5.4,5,341,122,455,1047,1944,1872,947,534,340,420
92,tt3687398,The Runner,2015,Austin Stark,"$6,000,000",,"$93,296",4.7,4972,4.8,5,224,65,140,367,850,1283,906,485,290,362
93,tt3733774,The Trust,2016,"Alex Brewer, Benjamin Brewer","$9,000,000",,"$321,650",5.4,17382,5.4,6,592,219,903,2602,4531,4087,2039,1037,529,843
94,tt3733778,Pay the Ghost,2015,Uli Edel,,,"$2,914,020",5.2,15465,5.4,5,717,307,812,1889,3506,3726,2026,1175,671,636
95,tt3758162,A Score to Settle,2019,Shawn Ku,,,"$171,216",4.6,3922,4.8,5,201,44,127,330,641,878,677,438,239,347
96,tt3774114,Snowden,2016,Oliver Stone,"$40,000,000","$21,587,519","$37,357,216",7.3,132119,7.4,7,10583,12875,38038,44534,17553,5033,1525,672,371,935
97,tt4054654,Dog Eat Dog,2016,Paul Schrader,,,"$184,404",4.7,7601,4.7,5,267,113,311,684,1249,1609,1301,835,526,706
98,tt4382824,Army of One,2016,Larry Charles,,,"$372,194",5.1,6464,5.1,5,255,105,331,855,1376,1396,825,471,326,524
99,tt4387314,A Christmas Carol,2018,David Izatt,,,,3.8,110,4.6,4,14,5,5,2,14,9,16,8,14,23
